,hotel_name,review_rating_score,pos_review_content,neg_review_content
17,Вила Миа,10,"Отдъхнахме си в тишина и спокойствие. Хотелът е прекрасно поддържан. Басейнът е чист и обзаведен с чадъри и шезлонги. Стаята беше чиста с ново обзавеждане. Леглото бе за нас с прерфектна ергономична твърдост и размер на Queen bed  - все пак не е само за сън  ;D ... Много ни хареса политиката на хотела за ежедневна смяна на хавлиите ! На рецепцията работеха две любезни и отзивчиви дами ! Бяхме забравили нещо от багажа си в стаята и потеглихме, а реакцията на младата дама от рецепцията бе светкавична, още преди да сме напуснали района на Буджака - за което сме много благодарни ! С няколко думи - перфектно място за ваканция ! Апропо, плажувахме на Смокиня - чист и поддържан плаж с платена част и свободна зона. Ако дойдеш с добро настроение, с двойно такова ще си тръгнеш !",Нямаше нещо което да ни подразни ! Всичко бе OK !
18,Вила Миа,10,"Приятно и уютно, чисто, спокойна зона. Нямаме забележки",
19,Вила Миа,10,"Изискан уют, чистота, удобство, гледка, дискретен вежлив персонал - всичко това ни помогна да се откъснем от ежедневието и да искаме отново да се завърнем към Villa Mia.",
20,Вила Миа,10,"Много чисто, всеки ден се смяняха кърпи и се почистваше, персоналът беше мил и любезен.
Гледката от стаята беше уникална.",
21,Вила Миа,10,"Добро разположение, любезни и усмихнати домакини. Отлична хигиена. Бихме се върнали отново. Горещо препоръчваме.",
22,Вила Миа,10,"Изключително любезен персонал. Поддържа се чисто и подредено. Нещо, което рядко се среща по нашето Черноморие е качествения матрак на леглото, на който може наистина да се наспиш добре.","Няма нещо, което да не ми хареса."
23,Вила Миа,10,"Освен невероятната гледка, персонала беше изключително мил, отзоваха се на всяко едно наше запитване и ни помогнаха с превоз, когато такситата ни отказваха. На 10 мин пешеходно разстояние от плажа, чиста и подредена стая, с всичко нужно. Препоръчвам с две ръце",
24,Вила Миа,10,"Вила Миа разполага с дружелюбен и отзивчив персонал. Хотелът е изключително чист, а паркингът - голям. Стаята ни беше просторна и изключително добре заредена. Гледката през терасата е невероятна.",
25,Вила Миа,10,"Изключително чисто, много отзивчив персонал, надхвърлиха очакванията ни. Бяхме очаровани :)",
26,Вила Миа,10,"Хотел за пример! Чистота, вежлив и услужлив персонал, невероятни стаи. Ще посетим отново!","Единственият минус е, че ресторанта не работи, но на 6 мин пеша има Лидл. Всичко друго е перфектно!!!"
27,Вила Миа,10,"Чудесно място.Тихо и спокойно,с прекрасна гледка към морето.Чисто и приятно студио с ежедневно почистване.И не на последно мясно,изключително лъчезарни и любезни двете дами на рецепцията.Силно препоръчвам!!!",Няма такова нещо
28,Вила Миа,10,"Много мили домакини . Изклюително чисто и подредено място. Капсулите на Nespresso са допълнителен бонус към доброто отношение. Предвид липсата на храна на място, може би ще е уместно да има в стаята малко "" посуда и прибори "" 😊","Местоположението не е най-доброто за море. До къмпинг "" Каваци "" може да се достигне единствено по маршрута за автомобили. Всичко останало е заградено и забранено за преминаване ?!? Улицата, на която се намира хотела не е асфалтирана, но това не е проблем на собствениците, а на община Созопол."
29,Вила Миа,10,Тишина и чистота.,Няма ресторант.
30,Вила Миа,10,Много чисто и уютно. Близо до плажа. Приветливи домакини. 10/10,
31,Вила Миа,10,"За втора година посещавам това място. Все така прекрасно, чисто и уютно.",-
32,Вила Миа,10,"Всичко беше нормално, хотела може да служи за еталон на другите хотели от този тип.",
33,Хотел Табанов Бийч,8,"Персонала беше мил ,локацията е на добро място !",
34,Хотел Табанов Бийч,8,"Стаята се почистваше всеки ден, персонала беше усмихнат и приветлив. Местоположението на хотела е добро.","Към основната цена нямаше включена закуска, което според мен е минус. Нямат свое паркомясто пред хотела, поне да разтоварите куфарите, а трябва да ги носите от паркинга, който е платен. Стаята, която ни бяха дали беше от към главния път и беше изключително шумно, дори нощем."
35,Хотел Табанов Бийч,8,"Много сме доволни, чисто, приветлив персонал, уютни стаи",.
36,Хотел Табанов Бийч,8,"Хората са изключително любезни и разбрани,наложи ни се да тръгнем с ден по-рано и те ни възстановиха последната нощувка с усмивка и без проблем!Локацията е изключително удобна,в близост до всички заведения и ресторанти,както и до плажа.",
37,Хотел Табанов Бийч,8,"Чисто, усмихнат и услужлив персонал, на хубаво място. Бих го посетил пак!","Няма нещо, което да не ми хареса!"
38,Хотел Табанов Бийч,8,Чистота и усмихнати домакини,
39,Хотел Табанов Бийч,8,Хотелът има много добра локация.,"За почти 200 лв за нощувка чистотата беше доста незадоволителна. Цялата баня беше в котлен камък. Имаше лепкави петна по пода и жълти петна по хавлиите за лице, което създаде изключително неприятно усещане. Няма паркинг, което е огромен минус. Ако решите да посетите малко по-далечен плаж с кола като Каваци или Градина, след 17 ч. е оргомен късмет да си намерите свободни места на близкия паркинг и се почва едно обикаляне... За парите, които платихме, нямаше дори включена закуска.   Спалнята не е спалня, а долепени 2 единични матрака, които постоянно се разместват. Преносимият сушилник на терасата беше ръждясал и банските ни се изцапаха. Определено не бихме повторили."
40,Хотел Табанов Бийч,8,Niacho ne besche tova koeto pokazvate na snimki,"Ne mi haresa
Restoranta ne rabotesche
Parking niama
Staite ne se pochistvat vseki den
Banite sascho
Basena ne tozi koito e na snimkata"
41,Хотел Табанов Бийч,8,"Страхотно място, супер локация, много добро обслужване и много чисто място,всичко беше супер😀",
42,Хотел Табанов Бийч,8,"Местоположението е добро, близо до плажа и центъра.","Стаята не беше добре почистена при пристигането ни, очаквахме king size bed, а в действителност бяха два долепени матрака, които се раздалечаваха и трябваше да се избутват обратно, което беше неприятно и досадно. В бяната имаше единствено сапун и шампоан в пликче като осигурени принадлежности. Не знаех, че хотелите все още предлагат такива… малко разочароващо за 60 лв на човек на вечер, дори нямаше душ гел, а със струята на душа може спокойно да си пробиеш дупка в кожата, а той друга настройка, за съжаление, няма. Интернетът не беше задоволителен."
43,Хотел Табанов Бийч,8,Чист и спретнат хотел с всичко необходимо за спокойна почивка! Персоналът е много отзивчив и винаги усмихнат! Ще се върнем пак!,
44,Хотел Табанов Бийч,8,Чист и спокоен хотел с всичко необходимо за една почивка.,
45,Хотел Табанов Бийч,8,Хареса ни това че се чистеше редовно.,"Не ни хареса това че банята беше прекалено тясна, защото душ кабината е на няколко сантиметра от мивката, което значи че полагаш много големи усилия да си измиеш зъбите и очите сутрин или трябва да го правиш на душа. Също така нямат паркинг.  Върна на всичко е че ресторанта им работи само сутрин! След като не се предлага даденият престой да включва храна най-малкото поне да можеш да слезеш отделно да си платиш вечеря, ноо няма как. Плащаш средно висока сума само за да спиш, да се бориш с банята и трябва да обикаляш града за да вечеряш иначе няма да ядеш. На други места за същите пари, които се дадоха тук има включена закуска и вечеря или поне имат работеш ресторант и не е нужно задължително да търсиш място за вечеря. Друго нещо казва се Табанов Бийч Хотел иии къде му е бийча на 500м от хотела и изгледа е или стадиона или другите хотелчета, изобщо не е към морето."
46,Хотел Табанов Бийч,8,Отлично местоположение. Учтив персонал,Нямаше комарници
47,Хотел Руж,8,"Всичко беше прекрасно. Вилата е чиста, много добре подържана.  Басейна е чист. Гледката прекрасна",
48,Хотел Руж,8,"Посещаваме втора година,всичко беше страхотно,спокойно място,страхотен апартамент,чисто,плаж на 1 минута,чист и голям басейн и чудесни домакини.",
49,Хотел Руж,8,"Местоположението, оборудването и размерът на стаята.",
50,Хотел Руж,8,"Разположението на вилата е много близо до плажа, както и до главната улица",
51,Хотел Руж,8,Вилата е на метри от морето и плаж Хармани.Терасата е с прекрасен изглед към морето.Наличен паркинг.Хубав басейн.,Липсата на абсорбатор и тента на терасата .
52,Хотел Руж,8,"Локацията е супер.На 10 минути пеша от Лидл,на 2 минути от Плаж Харманите,на 5 минути пеша от Главната улица на Новият град с всички възможни магазини заведения и увеселения за деца.
Чистота:Супер чисто и спретнато,един от собствениците обикаля от рано сутрин до късно вечер да полива,почиства и поддържа общите части.
Апартамента,който бяхме наели бе супер чист и спретнат.
Отношение от обслужването:Хората от които наехме апартамента са супер дружелюбни и винаги готови да помогнат ако имате нужда.Бяхме наели апартамента над тях номер 22 с гледка към басейна и малка но достатъчна тераса.Та бяхме с малко ревящо бебе и бягащо и скачащо дете на 5 годинки.Когато си напускахме се извинихме за създаденият шум,а хората с усмивка ни отговориха,че не са ни чували и да не се притесняваме.
Обобщение:
Чисто спретнато,с много добра локация на първа линия до плажът.С дружелюбни хазаи и паркинг за колата ви.За Цената мога да кажа,че ми се струва доста сносна да не кажа евтино за това което получаваме,но това е относително за всеки според възможностите.С много приятен малък и голям басейн където след около 16:00 става сенчесто и много приятно за ползване докато на плажът е жега.
Много скоро ще резервираме за следващото лято.
Благодаря за прекрасното отношение!
Агоп Калугян",Единственото за което съжалявам е че не намерихме това местенце преди няколко години когато бяхме в Созопол отново!
53,Хотел Руж,8,"Хотела е чист и спретнат домакините са много вежливи . Басейна е  поддържан ,хареса ни много и разположението близко е до плажа , до центъра на Стария град се стига за 15 ,20 минути .Ние бяхме семейство с деца и си прекарахме чудесно ще се върнем пак.",
54,Хотел Руж,8,"Местоположението е страхотно,любезни домакини,хубав и чист басейн,в кухнята има абсолютно всякаква посуда,каквато ти дойде на ум,тихо и спокойно място за почивка.С удоволствие бихме повторили.",Няма такова нещо.
55,Хотел Руж,8,Хубава гледка. Просторна тераса,Сушилото беше ръждясало и си съсипах хавлиите. Диванът не беше удобен за спане.
56,Хотел Руж,8,"Много хубаво, чисто и уютно студио. Вилата се намира на много добро и комуникативно място.
Отзивчиви и любезни домакини. Басейнът чист и подържан. Всичко това допринесе за една спокойна и приятна почивка.",
57,Хотел Руж,8,"Приятен апартамент с всичко необходимо, за да се чувствате удобно. Прекрасна гледка към морето. Осигурено място за паркиране - много важно за Созопол. Можете да наблюдавате изгрева на слънцето, пиейки кафето си на терасата или да релаксирате край басейна.",🙂
58,Хотел Руж,8,"Чувствах се като у дома си, имах всичко, от което се нуждая, за да е престоят ми спокоен и комфортен. Сутрин се чуват морските вълни. Красотата на изгрева изпълва целият ми ден с невероятно настроение. Морето е на една крачка само. Има и басейн, за тези, които не искат да усетят топлия пясък под краката си или просто искат и море, и басейн.","Времето, исках да няма толкова вятър. И никога не е достатъчно, за да имаш време за всичко, което си решил да разгледаш.  Другият път повече."
59,Хотел Руж,8,Много любезни домакини!Страхотна локация!,
60,Хотел Руж,8,"Прекрасно място за почивка. Неповторима гледка към морето, собствен паркинг, което е огромно предимство за Созопол, любезни домакини.",
61,Хотел Руж,8,"Всичко беше на ниво. От посрещане , до изпращане беше перфектно.",
62,Хотел Руж,8,Близо до плажа и размера на стаите,Матраците бяха много неудобни и малък размер на терасата.
63,Хотел Аполония,10,"Хотелът е разположен на много удобна локация в Созопол. Плажът и Старият град са на 5-10 минути пеша. Имат вкусно обедно меню в ресторанта. Към нашата спалня се откриваше чудесна панорамна гледка към плажа и градът. Добро съотношение спрямо цената, удобствата и локацията.","Не ми допадна липсата на асансьор, но това зависи от архитектурата на сградата. Пак бих посетила хотела въпреки това."
64,Хотел Аполония,10,"Чудесна локация, стаите ни бяха със страхотни гледки към морето. Леглата са големи и удобни, терасите също. Добре обзаведени, с всичко необходимо.",
65,Хотел Аполония,10,"Местоположението е чудесно в сърцето на стария град Созопол! Персоналът на рецепцията беше много любезен.  Стаята е просторна, чиста и обзаведена много уютно, има всичко необходимо за един приятен престой! В банята бяха осигурени всички необходими принадлежности. Стаята разполага с хладилник, интернетът е добър. Беше осигурено и парко място в близост до хотела. В кухненския бокс към стаята има диванче, микровълнова, кана за вода, котлон и др. Всичко е ИЗКЛЮЧИТЕЛНО чисто! Определено ако се върнем един ден отново, ще изберем същото място!",няма
66,Хотел Аполония,10,"Мястото е прекрасно, чист семеен хотел, разположен в близост до централния плаж и стария град. В стаята имаше всички необходими удобства! Домакините са гостоприемни и много мили! 
Престоят ни беше чудесен!",
67,Хотел Аполония,10,"Уютно , чисто , учтиви хора ! Перфектно",
68,Хотел Аполония,10,Много  и страхотно място.Препоръчвам!!!!И много добре локация,
69,Хотел Аполония,10,Уюта в стаите и гостоприемстото,
70,Хотел Аполония,10,Чистотата и големината на стаята. Вежливият персонал и разположението на хотела. Много хубава локация в близост до главната улица и стария град. Наличието на безплатен паркинг. Бихме посетили отново.,"Като цяло нямаме забележки, една малка препоръка - ще е чудесно да има кафе машина в стаята за да може да започнеш деня си на терасата с чаша кафе."
71,Хотел Аполония,10,Единствено локацията  ...,Не ми хареса храната в ресторанта...И не ми хареса мястото за паркиране което беше на тротоара...Това си е за притеснение.
72,Хотел Аполония,10,"Красиво и много чисто място за почивка. Направено с вкус и усет към детайла. Ресторантът към хотела беше много добър, по-добър от повечето в Созопол.","На нас ни беше много твърд матракът, но това е въпрос на навик и лично предпочитание."
73,Хотел Аполония,10,"Стаите са с 
чудесен изглед и чисти.
Ресторанта е много добър.
Хората от хотела са много любезни.",Няма такова.
74,Хотел Аполония,10,"Домакините бяха изключително гостоприемни.
Благодаря!
Чисто, удобно, с изглед към морето.",
75,Хотел Аполония,10,,"На стръмно място е разположен ,но обслужването е много добро и си струва."
76,Хотел Аполония,10,Перфектна чистота! Прекрасни пухени завивки. Усмихнати и любезни домакини!,
77,Хотел Аполония,10,"Престоят в Семеен хотел Аполония беше повече от прекрасен!
Изключително любезни, отзивчиви и мили домакини, които се погрижиха са всичко. Бяха осигурили дори паркомясто, което се пазеше за нас по време на целия престой, независимо от ежедневните ни пътувания.
Тристайният апартамент на последния етаж беше много над очакванията ни, въпреки че още снимките бяха обещаващи. Всяка стая имаше собствена тераса с невероятна гледка към целия град и морския пейзаж. Беше изключително чисто и уютно, като апартаментът имаше две новоремонтирани бани с тоалетни, включително и кухненска част и трапезария с всичко необходимо за пълноценната почивка. Цената на престоя е без конкуренция!
Благодарим за всичко!","Нямаше негативи, всичко беше страхотно!"
78,Хотел Аполония,10,"Персоналът, обслужването и вниманието към гостите са нещата, които ни направиха най0силно впечатление. Чист хотел, добър ресторант и прекрасна локация, ако целта на гостите е Старият град и Аполония.",
79,Хотел Аполония,10,"Нямахме включена закуска,но има ресторант към хотела и приготвят много вкусна храна",Всичко ми хареса
80,Хотел Аполония,10,"Отношението на персонала,гледката към морето,чистотата на стаите, ресторанта към хотела.",
81,Хотел Аполония,10,"Персонала е изключително мил, любезен и отзивчив. Радвам се, че отседнахме точно в този хотел. Имаше всички удобства, дори развлекателни игри, стаята беше огромна с хубаво разположение, голяма баня, тиха тераса и прибори за хранене. Безплатен паркинг пред хотела, ресторант на удобно място към който се прилага 10% отстъпка за гости. Храната беше чудно вкусна, поръчките идваха бързо, а всички сервитьори бяха дружелюбни и усмихнати. Браво!!
Напълно си заслужават парите към отношение на качеството. Стаята се почистваше ежедневно. Дори и камериерките бяха много усмихнати.",Няма такова нещо!
82,Хотел Аполония,10,"Централна локация, добра цена, любезени и внимателни.",
83,Хотел Аполония,10,"Хотела е супер чист,домакините любезни дадоха ни ключ за паркинг място което беше бонус а в Созопол е много трудно да се намери място за кола",
84,Хотел Аполония,10,"Основното, което харесвам, е локацията - много близко както до старата част и централния плаж, така и до плаж Харманите. Персонала е много дружелюбен. Стаите и баните са чисти и неамортизирани. Ресторанта към хотела също е на ниво.","В стаите разположени над ресторанта се чува шума от него и гледката е основно към съседните хотели, но стаите от другата страна, където съм отсядала предишна година, са по-спокойни и с прекрасна гледка."
85,Хотел Аполония,10,"Добра локация, близо до плажа и до стария град; вежлив и отзивчив персонал; поддържани и чисти помещения; голямо и много комфортно легло. Опцията за паркиране също се оказа невероятно удобство, тъй като в района няма къде да се паркира.",Някои от мебелите имат нужда от осъвременяване. Не препоръчвам храната в ресторанта - безвкусна храна и муден персонал.
86,Хотел Аполония,10,Хареса ми ресторанта.,
87,Хотел Силвър,10,"Добро обслужване, стаята се почистваше всеки ден. Усмихнат и мил персонал.","Ако не работи вентилаторът постоянно, от сифона в банята се носи неприятна миризма. Няма снимка на гледката от терасата, което малко подвежда за апартамент с изглед към морето, а в действителност гледаш 2 покрива и комините им, и в ъглите едва се подава морето."
88,Хотел Силвър,10,"Всичко! Страшно комуникативно място! Близо до плаж, стар и нов град! Заслужава си!",Няма нещо което да не ни е харесало.
89,Хотел Силвър,10,"Много чисто , удобно и приветливо! Стаята беше със страхотно изложение и персонала беше много мил и отзивчив. Бихме повторили пак.",Няма такова.
90,Хотел Силвър,10,"Прекрасно местоположение.Близо до плажа, центъра и стария град.Имаше осигурено паркомясто.",
91,Хотел Силвър,10,Невероятно любезни и учтиви домакини.,
92,Хотел Силвър,10,"Много симпатичен хотел на хубаво място, чисти стаи, бърз нет - съотношението между условия и цена беше отлично. Никакви проблеми, коректен домакин, добра комуникация. Препоръчвам и с удоволствие бих отседнал там отново!","Без никакви забележки, всичко беше супер!"
93,Хотел Силвър,10,"Удобен, чист , хубав апартамент.
Хотела е буквално до плажа.",
94,Хотел Силвър,10,Много чист и просторен апартамент с чудесна гледка към морето. Персоналът беше много мил. Ще се върнем отново.,
95,Хотел Силвър,10,"Беше много чисто, дамата на рецепция беше много дружелюбна и приветлива. Съотношението между цената и качеството е изненадващо, дори надхвърли очакванията ми.",
96,Хотел Силвър,10,"Прекрасно, спокойно и уютно хотелче. В апартамента имаше абсолютно всичко необходимо за престой, нищо не ни липсваше. Включително имаше и паркомясто пред самия хотел. Много отзивчива и прекрасна млада дама, благодарение на която престоят ни беше незабравим. Близостта до плажа и до старият град е неоспоримо предимство на този малък, но истински кокетен и чаровен хотел. Надяваме се лятото да успеем да го посетим за по-дълго време! Сърдечно благодарим на домакините и препоръчваме 100% Silver хотел!!!","Няма нещо, което да не ни хареса!"
97,Хотел Силвър,10,"Всичко ни хареса, апартамента, обзавеждането, локацията. Всичко ни беше удобно и се насладихме на една малка три дневна почивка. Благодаря Ви!",
98,Хотел Силвър,10,"Собствениците са много дружелюбни, мястото е близо до плажа и до търговската улица, чисто е. Имаше най-нужното- хладилник, ютия, сешоар, кана за вода, климатик. Леглото беше удобно и за щастие двойно, а не две допрени легла.","Коридорът в нашата стая беше изключително тесен. Мястото сутрин е малко шумно, ако се охлаждате на отворена врата, а не на климатик."
99,Хотел Силвър,10,"Много мили домакини, страхотно разположение, удобни апартаменти.",
100,Хотел Силвър,10,"Хотела е с отлично местоположение. Отнема секунди да стигнеш до плажа. Има и друг плаж, който е на около 5мин. пеша. За около 5-10 мин. се стига до стария град. Стаите са чисти и се почистваха всеки ден.  Апартамента, в който бяхме си имаше посуда, котлони, кана за гореща вода, микровълнова, малък хладилник, сешоар, ютия. Два климатика и два телевизора също.  Улицата е на центално място и същевременно тиха (доколкото е възможно  в курортно градче). Басейна работи, чист е, има си шезлонги и чадъри. Персонала беше любезен.",
101,Хотел Силвър,10,"Доброто местоположение, близост до морето и усмихнатият персонал.",
102,Хотел Силвър,10,"Разположение, големи стаи, приятно обзавеждане, матрака в спалнята е пружинен. За първи път разтегателния диван е мн удобен за спане, за него давам 10+ . Близо до плажовете и центъра.","В кухнята липсва сушилка за чиниите, а в банята моп за подсушаване, но това не са неща от първа нужда. :-)"
